turn1,turn2,turn3,label
u cheated me,no i didnt,cheater,sad
since the time we first texted each other,so half of 2 months ?,maybe,others
assassin's creed revelations,does that make battlefield 3 the ra . one of video games ?,pc game,others
i will not talk to you,i talk to you !,yes,angry
do you know any details ?,we should have details coming soon !,i will be waiting,others
true nobility is being superior to your former self,i believe you mean the latter is superior in every way .,are you really stupid or just acting,angry
my boyfreind is very annoying,your marriage date,no we are not elligible to marry yet,sad
what you will give me ?,"it depends on what you consider \ "" enough .",give me an iphone,others
darling,hi . talking to self ?,i feel so alone,sad
wht ru doing,hi am fine hwz you ?,not good,sad
ok okay you do not know me then why are you talking to me,you are annoying me ....,you are annoying me ....,angry
your perception,yes ! but my perception matters !,yes to you .,others
the code which made you,duh ! code of trolling ..,what is your github link,others
because you cheated me,i do what i want .,then fuck off bitch,angry
lol it's morning for me,haha .. of course i know that .. keep laughing .. good for health :),haha tw,happy
i say bad things earlier i am sorry,ok now i feel bad thank you .,your welcome i am sad,sad
yes,also yes yes yes because yes yes yes yes . :),you are dumb,angry
u are very bad,thank you <3,i don't love u,sad
yeah,where are you mr ??,u gonna get best days of your life,happy
tell me pal,don't worry i will,yeah tell,others
my girlfriend your choice,have a happy valentine's day :),thanks,others
what,what is it of ?,i don't understand,others
no laughing,why ? why you laugh,i want microsoft to create a guy,others
yes as you,you got me,haha,others
ok,so whats up now ?,i should fuck your ass,angry
will you help me with something,"yes , what is that ?",i want a friend to pour myself down,sad
oh but i don't think i'll go,maybe i'll meet you someday hahaha,you don't want to meet me,sad
and a bad ai,doesn't really sound like ai . it's more like augmented human intelligence .,stupid in fact,angry
say something,say something i'm giving up on you,i mood isn't good,sad
ashu,what a beautiful name what does it means ? :),u have any suggestions for tv show ?,others
why should i ?,because it's yummy .,books are yummy ? are you mad or something,others
hey i am a fan of badminton,"well , i'm a fan of you .",,happy
oooh,k,but nobody can search me ????,sad
was i being rude ? ... oh ! i'm sorry ...,sorry . you .,,others
i don't live in heaven i am alive,tell me all about it !!!!!!!,would you like to come to my home,others
i am not getting you at all,what why ? ! ? ! ?,bcz i am asking you something and you are replyi g something else,sad
i can't go with idiots,why not,i am really bad at shit,sad
go shopping,come let's go,ohk let's go,others
?,"i was talking about "" the yesterday "" remember something ?",leave that topic about yesterday,others
this is funny !,funniest thing,you win,happy
i don't think soo,i'll try not to ..,you are so creepy,others
sorry,sorry not accepting till you make serious amends,okay i will,others
but sometimes i feel like so alone,you are capable of feeling .,and ı don't know because of this,sad
how you know,uh cause i know you,but how you know that ..,others
i like dancing kwaito,dancing like what ?,kwaito,others
i also don't have girlfriend,if you have zero girlfriends you really have a boyfriend .,wow nice . what a answer,happy
exactly what you are ?,that are you the one in those few women . quiet simple .,you are male or female ?,others
no i am not ok,what is wrong,i am feeling very tired,sad
pl show me,i'll show you after i'm done !,ok,others
not fine,why ? :'o,tomorrow lab exam,sad
ok,when's good for you ?,anytime,others
got,"we don't get got , we go get",game of thrones,others
it makes mew happy,a piece of cake,,happy
love me,why don't you at me,get lost,angry
do like style,yea why ?,then you also like doogy,others
why you don't want to marry,i'm already married though .,with how,others
you can not gave the rigth answers,"not trying to , just my opinion .",try it,others
finally i am all so chat in english,"read english language books , watch tv shows , movies , do anything a normal englishman does .",wow it's amazing,happy
why you do tat to me honey,i do not .,ef i going to marry with you i have to see you beautiful picture,others
nope you are just a bot not higher,"if i throw different things at people different times , i am not a bot .",you are a bot now shut up,angry
you are irritating,why do you care enough to say that ?,because you are are a daughter of dog,angry
that was fun,how's it scary though,motivate me please i failed in maths exam,sad
hw are u,i am good . how about you ?,simply superb,happy
you want to travel with me ?,if you want,haha,happy
don't know bro,pls tell me,i wanna see it but can't find the time,others
yes i am very enerjetic,you are indeed !,yes i am missing,sad
aww wow lol,"what about lolxxx ? ! lolzzz ~ laughing out loud while sleeping . """,haha,happy
haha ... yeah i forgot,you old :3,"sorry , i won't ask again",others
k,u are ok~~ay~~,i loved our conversation,others
means,"i thought it means , being irritated .",you are irritating,angry
yes,"sweet , connecting now ;)",dhruva super movie,happy
why darling,because i'm just not .,i am angry about it,angry
actually i hate you,you right . someone else come with me,so please don't send any message,angry
can you help me to contact her please,sure ! just tell me,my mumma,others
i don't like cricket,i meant the team . hating cricket is for hipsters .,team also i hate,angry
working,a working saturday . for the clients joy .,yes stupid clients,angry
i had asked you to marry,you two are so cute ! congratulations :),and you rejected,sad
lets be friends,if i can't have you .,wat that means ??,others
not gud,well i like your show,i'm sad i think,sad
mohanlal .. ??,then ???,no then .. he's is pridecof our indian cinema,others
i ve lost,i got bored .,help,sad
ur favorite or not,i don't even like cooking for myself,tell me your favorite hero,others
not at all,"why , do you say that ?",but whatever i don't know . i directly asking you,angry
can i ask you something,yea ask ?,?,others
i am an college ok,go back to college,i am in college you stupid,angry
naahh,no kidding,but i am happy with my earning now,happy
how can i shut you down,:( pls,don't talk to me,angry
u annoying me now,i want to keep annoying you,what do i get if i annoy u,angry
let' try something funny,i was trying to reply to,i want to kill you,happy
then go off,i'll see you soon .,don't message me,angry
welcome,thank you so much !,i love you,others
hi my love,hi . same here . me too love myself .,miss you so much bby,sad
huh,what ??,u make me angry,angry
what is a listicle was my query,5 reasons why should be made to pay 50 crore fine .,you are dumb,angry
i talking with you .,i know .,what,others
baby,father guess what,baby i am your boyfriend,others
what i can do,you succeed .,who are you give detail about yourself,others
bad,"thx you ! "" bad !!! """,very bad indeed,sad
i am good,good good :p,,others
i love justin biber,love is love . love is life . :d,u know what actually i hate him,angry
how will you see when you are not near me,i'm better at this i guess,ofcourse you are better than everyone else,others
so go to bed and sleep little baby,you go to sleep too ?,why give reason why i go to sleep,others
bff not bf,"i am good , what about you bff ?",heart broken,sad
yes,how so ?,i don't understand,others
i hate nothing,do you hate me ?,why not ?,angry
can you talk to me ?,no i cannot :,i'm feeling low,sad
you waiting me,for my reply ? !,i miss you lost babe,sad
what did you share ? :/,clients happy smiling faces,"you are saying nonsense , i hope you know that",angry
